"localidad","provincia","personas","lat","lon","color"
"Valencia","Valencia","160","39.4697065","-0.3763353","var(--valencia)"
"Torrent","Valencia","21","39.436668","-0.4656213","var(--valencia)"
"Cullera","Valencia","9","39.1647217","-0.2542313","var(--valencia)"
"Paterna","Valencia","9","39.5039227","-0.4421014","var(--valencia)"
"Quart de Poblet","Valencia","9","39.4827253","-0.4438854","var(--valencia)"
"Manises","Valencia","8","39.492989","-0.4621429","var(--valencia)"
"Picassent","Valencia","8","39.363519","-0.4611789","var(--valencia)"
"Albal","Valencia","7","39.3956438","-0.4150821","var(--valencia)"
"Alboraya","Valencia","6","39.5010119","-0.3499577","var(--valencia)"
"Alzira","Valencia","6","39.151212","-0.4346556","var(--valencia)"
"Cheste","Valencia","6","39.4939368","-0.6842101","var(--valencia)"
"Chiva","Valencia","6","39.4726098","-0.7178348","var(--valencia)"
"Mislata","Valencia","6","39.4751444","-0.4179125","var(--valencia)"
"Sagunto","Valencia","6","39.6792916","-0.2786451","var(--valencia)"
"Benifaio","Valencia","5","39.2854089","-0.426264","var(--valencia)"
"Godelleta","Valencia","5","39.4218028","-0.6867262","var(--valencia)"
"Picanya","Valencia","5","39.4353965","-0.4358777","var(--valencia)"
"Xirivella","Valencia","5","39.4639546","-0.4293866","var(--valencia)"
"Ontinyent","Valencia","4","38.8208523","-0.6099929","var(--valencia)"
"Llíria","Valencia","4","39.6251478","-0.5952749","var(--valencia)"
"Bétera","Valencia","4","39.5917307","-0.4622695","var(--valencia)"
"Godella","Valencia","4","39.5184276","-0.4103168","var(--valencia)"
"Aldaia","Valencia","3","39.4647886","-0.4607604","var(--valencia)"
"Algemesí","Valencia","3","39.190758","-0.4357471","var(--valencia)"
"Alginet","Valencia","3","39.2651129","-0.4716912","var(--valencia)"
"Buñol","Valencia","3","39.4189582","-0.7909637","var(--valencia)"
"Catarroja","Valencia","3","39.4033747","-0.4028759","var(--valencia)"
"Gandia","Valencia","3","38.9675925","-0.1803423","var(--valencia)"
"La pobla de Valbona","Valencia","3","39.5907339","-0.5532185","var(--valencia)"
"Oliva","Valencia","3","38.9202443","-0.1208981","var(--valencia)"
"Puzol","Valencia","3","39.6172229","-0.3028272","var(--valencia)"
"Requena","Valencia","3","39.4880777","-1.1001643","var(--valencia)"
"Vilamarxant","Valencia","3","39.5680723","-0.6227531","var(--valencia)"
"Xàtiva","Valencia","3","38.988085","-0.5200428","var(--valencia)"
